Nombre,Letra,Versos
Arrullo del Niño Dios (a),"A la rorro, niño, a la rorrorró; duérmete, mi niño, duérmete, mi amor. Tus ojitos bailan cual la luz del sol; duérmete, mi niño, duérmete, mi amor. Caminen, pastores, vamos a Belén a ver a la Virgen y al Niño también","A la rorro, niño,
a la rorrorró;
duérmete, mi niño,
duérmete, mi amor.
Tus ojitos bailan
cual la luz del sol;
duérmete, mi niño,
duérmete, mi amor.
Caminen, pastores,
vamos a Belén
a ver a la Virgen
y al Niño también"
Arrullo del Niño Dios (b),"A la rorro, rorro, y a la rorrorró; duérmase, niñito de mi corazón. A la rorro, niño, y a la rorrorró; duérmete, bien mío, que ya amaneció.","A la rorro, rorro,
y a la rorrorró;
duérmase, niñito
de mi corazón.
A la rorro, niño,
y a la rorrorró;
duérmete, bien mío,
que ya amaneció."
Arrullo mexicano,"A la rorro, rorro, y a la rorrorró; duérmase, mi niño, que lo arullo yo. Gorrioncito hermoso, pico de coral, te traigo una jaula de puro cristal. Gorrioncito hermoso, pico de rubí, te traigo una jaula de oro para ti. Dios Omnipotente, sácame de aquí, llévame a mi pueblo donde yo nací.","A la rorro, rorro,
y a la rorrorró;
duérmase, mi niño,
que lo arullo yo.
Gorrioncito hermoso,
pico de coral,
te traigo una jaula
de puro cristal.
Gorrioncito hermoso,
pico de rubí,
te traigo una jaula
de oro para ti.
Dios Omnipotente,
sácame de aquí,
llévame a mi pueblo
donde yo nací."
"A la rurru, niño","A la rurru, niño, a la rurru ya; duérmete, mi niño, y duérmete ya.","A la rurru, niño,
a la rurru ya;
duérmete, mi niño,
y duérmete ya."
Arestín de plata,"Arestín de plata, cuna de marfil, arrullen al niño que se va a dormir. Este niño lindo que nació de noche, quiere que lo lleven a pasear en coche. Este niño lindo que nació de día, quiere que lo lleven a la nevería. Este niño lindo que nació de día, quiere que lo lleven a comer sandía.","Arestín de plata,
cuna de marfil,
arrullen al niño
que se va a dormir.
Este niño lindo
que nació de noche,
quiere que lo lleven
a pasear en coche.
Este niño lindo
que nació de día,
quiere que lo lleven
a la nevería.
Este niño lindo
que nació de día,
quiere que lo lleven
a comer sandía."
Este niño lindo,"Este niño lindo se quiere dormir, tiéndale su cama en el toronjil. Toronjil de plata, torre de marfil, este niño lindo ya se va a dormir. Duérmete, niñito, que voy a lavar pañales de lino con agua de azahar.","Este niño lindo
se quiere dormir,
tiéndale su cama
en el toronjil.
Toronjil de plata,
torre de marfil,
este niño lindo
ya se va a dormir.
Duérmete, niñito,
que voy a lavar
pañales de lino
con agua de azahar."
Arriba del cielo,Arriba del cielo está un ventanito por donde se asoma el niño chiquito. Y más abajito está una ventana por donde se asoma Señora Santa Ana. Y más abajito está un postiguito por donde se asoma el niño chiquito. Y más para arriba está un agujero por donde se asoma narices de cuero. En medio del cielo hay un baldaquín en donde se sienta Señor San Joaquín. Arriba del cielo está un arroyito donde María lava todo pañuelito. Arriba del cielo hay muchos columpios en donde se mecen los niñitos rubios.,"Arriba del cielo
está un ventanito
por donde se asoma
el niño chiquito.
Y más abajito
está una ventana
por donde se asoma
Señora Santa Ana.
Y más abajito
está un postiguito
por donde se asoma
el niño chiquito.
Y más para arriba
está un agujero
por donde se asoma
narices de cuero.
En medio del cielo
hay un baldaquín
en donde se sienta
Señor San Joaquín.
Arriba del cielo
está un arroyito
donde María lava
todo pañuelito.
Arriba del cielo
hay muchos columpios
en donde se mecen
los niñitos rubios."
Santa Margarita,"Santa Margarita, carita de luna, duérmeme este niño que tengo en la cuna. Santa Margarita, carita de queso, duérmeme este niño que tengo tan necio. Corran borreguitos, por estas laderas, cortando rositas de la primavera. Cantan, pajaritos, con gusto y contento, diviertan al Niño en su nacimiento. Los gallos cantaron, las aves salieron, árboles y plantas allí florecieron. Borreguito de oro de todo mi anhelo, de las almas justas lleva mi alma al cielo.","Santa Margarita,
carita de luna,
duérmeme este niño
que tengo en la cuna.
Santa Margarita,
carita de queso,
duérmeme este niño
que tengo tan necio.
Corran borreguitos,
por estas laderas,
cortando rositas
de la primavera.
Cantan, pajaritos,
con gusto y contento,
diviertan al Niño
en su nacimiento.
Los gallos cantaron,
las aves salieron,
árboles y plantas
allí florecieron.
Borreguito de oro
de todo mi anhelo,
de las almas justas
lleva mi alma al cielo."
Señora Santa Ana (a),"–Señora Santa Ana ¿por qué llora el niño? Por una manzana que se le ha perdido. Si llora por una, yo le daré dos, una para el niño y una para vos. Señora Santa Ana, que dicen de vos que eres soberana, abuela de Dios. Señora Santa Ana, recuérdalo vos, por una manzana me ofreciste dos. Señora Santa Ana, sosténmelo vos, por esa manzana devuélveme dos.","–Señora Santa Ana
¿por qué llora el niño?
Por una manzana
que se le ha perdido.
Si llora por una,
yo le daré dos,
una para el niño
y una para vos.
Señora Santa Ana,
que dicen de vos
que eres soberana,
abuela de Dios.
Señora Santa Ana,
recuérdalo vos,
por una manzana
me ofreciste dos.
Señora Santa Ana,
sosténmelo vos,
por esa manzana
devuélveme dos."
La manzana perdida (b),"–Señora Santa Ana ¿por qué llora el niño? –Por una manzana que se le ha perdido. –No llore por una, yo le daré dos: que vayan por ellas a San Juan de Dios. –No llore por dos, yo le daré tres: que vayan por ellas hasta San Andrés. No llore por tres, yo le daré cuatro: que vayan por ellas hasta Guanajuato. No llore por cuatro: yo le daré cinco: que vayan por ellas hasta San Francisco. No llore por cinco, yo le daré seis: que vayan por ellas hasta la Merced. No llore por seis, yo le daré siete: que vayan por ellas hasta San Vicente. No llore por siete, yo le daré ocho: que vayan por ellas hasta San Antonio. No llore por ocho, yo le daré nueve: que vayan por ellas hasta San Irene. Si llora por nueve, yo le daré diez: que vayan por ellas hasta Santa Inés.","–Señora Santa Ana
¿por qué llora el niño?
–Por una manzana
que se le ha perdido.
–No llore por una,
yo le daré dos:
que vayan por ellas
a San Juan de Dios.
–No llore por dos,
yo le daré tres:
que vayan por ellas
hasta San Andrés.
No llore por tres,
yo le daré cuatro:
que vayan por ellas
hasta Guanajuato.
No llore por cuatro:
yo le daré cinco:
que vayan por ellas
hasta San Francisco.
No llore por cinco,
yo le daré seis:
que vayan por ellas
hasta la Merced.
No llore por seis,
yo le daré siete:
que vayan por ellas
hasta San Vicente.
No llore por siete,
yo le daré ocho:
que vayan por ellas
hasta San Antonio.
No llore por ocho,
yo le daré nueve:
que vayan por ellas
hasta San Irene.
Si llora por nueve,
yo le daré diez:
que vayan por ellas
hasta Santa Inés."
